customer_id,age,gender,province,estimated_income,tenure_months,num_products,has_checking,has_savings,has_credit_card,has_mortgage,has_personal_loan,has_investment,checking_balance,savings_balance,total_balance,transactions_per_month,avg_transaction_amount,num_deposits_3m,num_withdrawals_3m,has_direct_deposit,credit_limit,credit_utilization,overdraft_fees_12m,monthly_fees_12m,total_fees_12m,fee_waiver,complaints_12m,complaints_resolved,support_calls_12m,uses_mobile_app,uses_online_banking,mobile_logins_month,online_logins_month,paperless,credit_score,has_relationship_manager,months_since_last_product,campaigns_received_12m,campaigns_responded,churned
CUST_000001,52,M,ON,30K-50K,17,4,1,1,1,0,1,0,7082.27,100841.71,107923.98,34,24.35,9,15,0,2500,0.3562,0,0.0,0.0,0,0,0,5,1,0,7,0,0,688.0,1,19,3,1,0
CUST_000002,42,M,ON,75K-100K,80,4,1,1,1,0,1,0,9770.12,6549.34,16319.46,26,63.44,11,17,1,1000,0.2401,90,0.0,90.0,0,0,0,2,1,1,7,13,0,705.0,0,5,1,1,0
CUST_000003,54,M,NB,<30K,32,2,1,0,1,0,0,0,7053.97,0.0,7053.97,22,48.2,13,15,1,10000,0.3456,0,203.4,203.4,0,0,0,3,1,1,19,7,0,749.0,0,8,5,1,0
CUST_000004,67,M,QC,50K-75K,8,4,1,1,1,1,0,0,5018.52,2100.3,7118.82,17,316.76,8,13,1,10000,0.1631,45,203.4,248.4,1,0,0,2,1,1,14,4,1,699.0,0,11,8,0,1
CUST_000005,41,F,ON,50K-75K,17,4,1,1,1,1,0,0,33796.64,1022.41,34819.05,30,22.43,5,14,1,10000,0.2908,45,131.4,176.4,0,2,1,2,1,1,13,9,1,718.0,0,25,6,0,0
CUST_000006,41,M,AB,30K-50K,67,3,1,1,0,1,0,0,13834.07,1606.23,15440.3,17,55.89,12,15,1,0,0.0,45,203.4,248.4,0,1,1,3,1,1,25,15,1,649.0,0,5,2,0,0
CUST_000007,68,M,BC,50K-75K,24,2,1,0,1,0,0,0,8092.54,0.0,8092.54,29,17.07,4,13,0,10000,0.1535,45,59.4,104.4,1,1,0,2,0,1,0,8,1,702.0,0,12,6,0,0
CUST_000008,56,F,BC,100K-150K,55,3,1,1,1,0,0,0,3230.97,30007.53,33238.5,26,201.87,9,15,1,5000,0.2108,0,131.4,131.4,0,0,0,1,0,1,0,13,0,630.0,0,43,6,1,0
CUST_000009,37,M,ON,<30K,13,2,1,0,1,0,0,0,492.35,0.0,492.35,34,233.79,5,29,1,1000,0.6098,90,0.0,90.0,0,0,0,1,1,1,14,9,1,669.0,0,66,3,0,0
CUST_000010,53,F,ON,50K-75K,35,4,1,1,1,1,0,0,12440.71,4592.56,17033.27,20,124.7,6,15,1,5000,0.0403,45,0.0,45.0,1,0,0,5,1,1,16,11,0,729.0,0,52,1,0,0
CUST_000011,38,F,QC,>150K,43,2,1,0,1,0,0,0,1528.66,0.0,1528.66,26,280.05,7,14,0,25000,0.2432,135,131.4,266.4,0,0,0,3,1,0,15,0,1,729.0,0,3,1,0,0
CUST_000012,38,M,QC,50K-75K,31,3,1,0,1,1,0,0,12271.23,0.0,12271.23,26,57.38,5,15,1,15000,0.1798,45,59.4,104.4,1,0,0,1,1,1,12,5,1,749.0,0,45,3,0,0
CUST_000013,48,F,MB,75K-100K,13,4,1,1,1,0,0,1,2195.61,144733.89,146929.51,28,21.8,6,22,0,15000,0.3506,45,59.4,104.4,0,0,0,4,0,1,0,10,1,687.0,1,8,1,0,0
CUST_000014,18,F,ON,100K-150K,37,3,1,1,1,0,0,0,4171.2,748.27,4919.47,20,24.25,5,11,1,15000,0.1839,45,131.4,176.4,0,1,1,3,1,1,14,9,1,631.0,0,11,2,1,0
CUST_000015,19,M,QC,30K-50K,70,2,1,1,0,0,0,0,3515.66,17457.81,20973.47,30,10.0,5,11,0,0,0.0,45,0.0,45.0,0,0,0,2,1,1,9,8,0,721.0,0,29,4,1,0
CUST_000016,36,M,ON,,200,2,1,0,1,0,0,0,380.26,0.0,380.26,27,10.0,8,11,1,2500,0.3521,135,59.4,194.4,0,1,0,4,1,1,8,8,0,535.0,0,2,2,0,0
CUST_000017,29,F,BC,75K-100K,93,3,1,1,1,0,0,0,6134.56,2642.1,8776.67,26,120.65,10,14,1,2500,0.1136,0,203.4,203.4,1,0,0,2,1,1,6,12,1,,0,19,5,1,0
CUST_000018,49,F,SK,75K-100K,10,3,1,1,1,0,0,0,2412.57,3151.61,5564.18,27,20.83,6,11,0,1000,0.4752,90,59.4,149.4,0,0,0,2,0,1,0,4,1,681.0,0,4,2,0,0
CUST_000019,31,F,BC,<30K,19,4,1,1,1,1,0,0,2598.15,38377.96,40976.11,29,14.53,5,16,1,10000,0.4879,0,0.0,0.0,0,0,0,2,1,1,12,14,0,755.0,0,22,5,2,0
CUST_000020,23,M,ON,30K-50K,4,4,1,1,1,0,0,1,47094.67,25867.71,72962.39,31,388.16,7,14,0,5000,0.2263,0,131.4,131.4,0,0,0,4,0,1,0,3,1,727.0,0,10,4,2,0
CUST_000021,66,F,ON,50K-75K,8,5,1,0,1,1,1,1,1042.26,0.0,1042.26,25,54.58,6,16,1,5000,0.3323,90,59.4,149.4,1,1,1,1,1,1,10,4,0,697.0,0,8,4,0,0
CUST_000022,41,M,BC,100K-150K,17,5,1,1,1,1,0,1,958.99,1900.49,2859.48,31,155.57,5,13,1,2500,0.0826,45,0.0,45.0,1,0,0,0,0,0,0,0,0,673.0,0,9,5,0,0
CUST_000023,46,F,QC,50K-75K,13,3,1,0,1,0,0,1,1910.31,0.0,1910.31,27,49.11,14,21,0,10000,0.4309,0,59.4,59.4,1,0,0,2,1,1,7,7,1,718.0,0,16,7,0,0
CUST_000024,23,F,PE,>150K,14,3,1,0,1,0,0,1,22171.06,0.0,22171.06,23,27.94,8,17,1,15000,0.3077,90,0.0,90.0,1,0,0,2,1,1,14,9,1,546.0,0,54,4,0,0
CUST_000025,36,F,QC,>150K,15,4,1,1,0,1,1,0,1034.89,386.9,1421.78,23,808.54,5,14,1,0,0.0,135,203.4,338.4,0,1,0,4,1,1,14,7,0,726.0,0,6,7,1,0
CUST_000026,46,F,MB,75K-100K,21,4,1,1,1,1,0,0,24647.23,77345.39,101992.62,28,32.2,6,13,0,15000,0.1412,135,59.4,194.4,0,0,0,2,1,1,11,9,0,609.0,1,29,2,0,0
CUST_000027,27,F,QC,75K-100K,8,4,1,1,1,0,0,1,217494.65,2581.62,220076.27,31,96.28,8,16,0,25000,0.4814,0,131.4,131.4,0,1,1,3,1,1,21,10,0,794.0,1,6,9,1,0
CUST_000028,50,F,MB,50K-75K,19,3,1,1,1,0,0,0,47962.37,376.78,48339.15,31,50.94,7,17,1,5000,0.6884,90,0.0,90.0,0,1,1,3,0,0,0,0,0,712.0,0,10,6,0,0
CUST_000029,35,M,ON,<30K,69,1,1,0,0,0,0,0,424.72,0.0,424.72,25,,8,17,1,0,0.0,90,0.0,90.0,0,0,0,3,1,0,8,0,1,828.0,0,20,3,0,0
CUST_000030,40,F,SK,50K-75K,16,4,1,1,1,1,0,0,543.3,8941.45,9484.75,29,212.58,7,16,1,50000,0.5456,0,131.4,131.4,1,0,0,2,1,1,12,7,0,746.0,0,3,5,0,0
CUST_000031,35,F,BC,50K-75K,11,3,1,1,1,0,0,0,5159.43,69748.12,74907.55,26,23.94,11,16,1,5000,0.0527,90,131.4,221.4,1,0,0,3,1,1,10,7,1,652.0,0,0,4,0,1
CUST_000032,72,M,SK,50K-75K,4,3,1,1,1,0,0,0,2257.49,620.94,2878.43,31,48.08,3,14,0,10000,0.3654,0,131.4,131.4,0,0,0,2,0,0,0,0,1,631.0,0,3,3,0,1
CUST_000033,44,F,ON,75K-100K,41,4,1,1,1,1,0,0,2114.7,5612.64,7727.34,26,10.0,9,10,1,10000,0.3328,90,131.4,221.4,1,1,1,0,1,0,17,0,0,755.0,0,16,5,1,0
CUST_000034,29,M,QC,50K-75K,110,2,1,0,1,0,0,0,1514.91,0.0,1514.91,23,44.61,5,19,1,5000,0.6577,90,131.4,221.4,0,0,0,2,0,1,0,7,1,754.0,0,3,2,1,0
CUST_000035,57,F,QC,75K-100K,3,4,1,1,1,0,0,1,2179.66,740.54,2920.19,25,,5,16,0,15000,0.3021,45,0.0,45.0,1,0,0,1,0,1,0,12,1,790.0,0,12,5,1,1
CUST_000036,26,F,PE,50K-75K,46,4,1,1,0,1,0,1,7493.95,33274.27,40768.22,41,150.5,6,16,1,0,0.0,45,59.4,104.4,0,1,1,2,1,1,8,5,1,756.0,0,11,2,0,0
CUST_000037,48,M,QC,30K-50K,63,1,1,0,0,0,0,0,1661.2,0.0,1661.2,32,341.82,10,18,0,0,0.0,135,59.4,194.4,0,1,1,2,0,1,0,7,0,813.0,0,0,2,0,0
CUST_000038,18,F,BC,50K-75K,53,5,1,1,1,1,0,1,1713.97,2337.16,4051.13,28,116.4,13,13,0,10000,0.0616,0,203.4,203.4,0,0,0,4,0,0,0,0,1,710.0,0,2,4,0,0
CUST_000039,25,M,AB,>150K,126,2,1,0,1,0,0,0,36567.83,0.0,36567.83,23,35.75,6,14,0,2500,0.1656,135,59.4,194.4,1,0,0,3,0,0,0,0,0,684.0,0,41,5,0,0
CUST_000040,47,F,ON,100K-150K,120,3,1,1,1,0,0,0,1018.01,32138.73,33156.73,24,47.84,9,18,0,15000,0.4288,90,0.0,90.0,1,1,1,3,1,1,12,5,1,760.0,0,1,2,0,0
CUST_000041,56,M,ON,30K-50K,3,4,1,1,1,1,0,0,386.87,40864.92,41251.79,12,21.84,4,17,0,10000,0.1324,135,203.4,338.4,0,0,0,2,0,1,0,6,1,790.0,0,1,4,0,0
CUST_000042,47,M,ON,50K-75K,26,3,1,1,0,1,0,0,15570.18,24964.82,40535.01,20,24.04,6,16,0,0,0.0,135,131.4,266.4,0,1,1,5,1,1,11,10,1,703.0,0,0,2,0,0
CUST_000043,43,M,ON,>150K,66,2,1,0,0,0,1,0,282.84,0.0,282.84,33,194.31,8,14,1,0,0.0,0,131.4,131.4,0,1,0,2,0,1,0,11,1,666.0,0,12,5,0,0
CUST_000044,40,M,AB,<30K,182,3,1,1,1,0,0,0,1478.36,1616.12,3094.48,31,25.76,5,10,0,10000,0.1028,90,131.4,221.4,0,1,0,4,0,1,0,6,0,734.0,0,14,1,0,0
CUST_000045,22,F,SK,30K-50K,97,3,1,0,0,1,1,0,437.4,0.0,437.4,17,,9,17,1,0,0.0,45,0.0,45.0,0,0,0,2,0,0,0,0,1,643.0,0,1,2,0,0
CUST_000046,34,F,SK,30K-50K,11,4,1,1,1,0,0,1,1665.88,6371.13,8037.01,25,121.82,8,18,1,2500,0.5716,90,0.0,90.0,0,0,0,5,1,1,14,9,1,690.0,0,7,3,0,0
CUST_000047,38,M,ON,50K-75K,19,3,1,0,1,1,0,0,1217.81,0.0,1217.81,24,61.05,5,10,0,15000,0.4465,180,131.4,311.4,1,0,0,2,1,1,17,6,1,626.0,0,20,4,0,0
CUST_000048,60,M,ON,50K-75K,86,4,1,1,1,0,1,0,24014.98,70.11,24085.1,21,32.83,9,17,1,10000,0.4602,45,0.0,45.0,0,0,0,2,1,0,18,0,1,712.0,0,12,2,1,0
CUST_000049,50,M,ON,<30K,38,3,1,1,1,0,0,0,20248.86,891.02,21139.88,19,18.01,7,18,1,2500,0.3329,90,203.4,293.4,0,0,0,2,1,0,12,0,0,614.0,0,10,2,1,0
