customer_id,age,gender,province,estimated_income,tenure_months,num_products,has_checking,has_savings,has_credit_card,has_mortgage,has_personal_loan,has_investment,checking_balance,savings_balance,total_balance,transactions_per_month,avg_transaction_amount,num_deposits_3m,num_withdrawals_3m,has_direct_deposit,credit_limit,credit_utilization,overdraft_fees_12m,monthly_fees_12m,total_fees_12m,fee_waiver,complaints_12m,complaints_resolved,support_calls_12m,uses_mobile_app,uses_online_banking,mobile_logins_month,online_logins_month,paperless,credit_score,has_relationship_manager,months_since_last_product,campaigns_received_12m,campaigns_responded,churned,tenure_years,is_new_customer,is_established,is_loyal,product_diversity,products_per_tenure_year,has_lending,cross_sell_depth,log_total_balance,log_checking_balance,is_high_balance,is_low_balance,savings_ratio,balance_per_product,transaction_intensity,deposit_withdrawal_ratio,is_inactive,is_highly_active,net_transaction_flow,high_cc_utilization,low_cc_utilization,credit_to_balance,fee_burden_ratio,is_high_fee_payer,complaint_resolution_rate,service_friction,unresolved_complaints,total_digital_logins,digital_adoption,is_mobile_first,digitally_disengaged,recent_product_purchase,stale_relationship,campaign_response_rate,customer_value_score,relationship_depth,churn_risk_signals,retention_anchors,net_retention_score,province_encoded,income_encoded,gender_F,gender_M,gender_Other
CUST_000001,52,M,ON,30K-50K,17,4,1,1,1,0,1,0,7082.27,100841.71,107923.98,34,24.35,9,15,0,2500,0.3562,0,0.0,0.0,0,0,0,5,1,0,7,0,0,688.0,1,19,3,1,0,1.4166666666666667,0,0,0,4,1.6551724137931032,1,3,11.589191635109787,8.86549094446801,1,0,0.934377234790637,26980.995,827.9000000000001,0.6,0,1,-6,0,0,0.02316445334947803,0.0,0,1.0,0.0,0,7,1,1,0,0,0,0.3333333333333333,4.639257490532937,10,1,5,4,6,1,False,True,False
CUST_000002,42,M,ON,75K-100K,80,4,1,1,1,0,1,0,9770.12,6549.34,16319.46,26,63.44,11,17,1,1000,0.2401,90,0.0,90.0,0,0,0,2,1,1,7,13,0,705.0,0,5,1,1,0,6.666666666666667,0,1,1,4,0.5217391304347826,1,3,9.700174814395382,9.187186375109334,0,0,0.40132087703882363,4079.865,1649.44,0.6470588235294118,0,0,-6,0,1,0.06127653733640697,0.5514888360276627,0,1.0,0.0,0,20,2,0,0,1,0,1.0,5.0600524443186154,12,0,5,5,6,3,False,True,False
CUST_000003,54,M,NB,<30K,32,2,1,0,1,0,0,0,7053.97,0.0,7053.97,22,48.2,13,15,1,10000,0.3456,0,203.4,203.4,0,0,0,3,1,1,19,7,0,749.0,0,8,5,1,0,2.6666666666666665,0,0,0,2,0.5454545454545455,0,1,8.861487611974542,8.861487611974542,0,0,0.0,3526.985,1060.4,0.8666666666666667,0,0,-2,0,0,1.4176414132750776,2.883482634601508,1,1.0,1.5,0,26,2,1,0,1,0,0.2,3.6584462835923626,7,1,2,1,3,0,False,True,False
CUST_000004,67,M,QC,50K-75K,8,4,1,1,1,1,0,0,5018.52,2100.3,7118.82,17,316.76,8,13,1,10000,0.1631,45,203.4,248.4,1,0,0,2,1,1,14,4,1,699.0,0,11,8,0,1,0.6666666666666666,1,0,0,4,2.4000000000000004,1,3,8.870637723187578,8.521089590584246,0,0,0.2950348512815327,1779.705,5384.92,0.6153846153846154,0,0,-5,0,1,1.4047271879328316,3.489342334825154,1,1.0,1.5,0,18,3,1,0,1,0,0.0,3.9111913169562733,11,2,4,2,8,2,False,True,False
CUST_000005,41,F,ON,50K-75K,17,4,1,1,1,1,0,0,33796.64,1022.41,34819.05,30,22.43,5,14,1,10000,0.2908,45,131.4,176.4,0,2,1,2,1,1,13,9,1,718.0,0,25,6,0,0,1.4166666666666667,0,0,0,4,1.6551724137931032,1,3,10.457948649277496,10.4281462565482,0,0,0.029363523703260137,8704.7625,672.9,0.35714285714285715,0,0,-9,0,1,0.2871991050875885,0.5066192213745061,0,0.5,5.5,1,22,3,1,0,0,0,0.0,4.49988459478325,11,1,4,3,6,2,True,False,False
CUST_000006,41,M,AB,30K-50K,67,3,1,1,0,1,0,0,13834.07,1606.23,15440.3,17,55.89,12,15,1,0,0.0,45,203.4,248.4,0,1,1,3,1,1,25,15,1,649.0,0,5,2,0,0,5.583333333333333,0,1,1,3,0.4556962025316456,1,2,9.6448010169256,9.534961951839596,0,0,0.10402841913693388,5146.766666666666,950.13,0.8,0,0,-3,0,1,0.0,1.6087770315343612,1,1.0,3.5,0,40,3,1,0,1,0,0.0,4.680940305077681,10,2,5,3,0,1,False,True,False
CUST_000007,68,M,BC,50K-75K,24,2,1,0,1,0,0,0,8092.54,0.0,8092.54,29,17.07,4,13,0,10000,0.1535,45,59.4,104.4,1,1,0,2,0,1,0,8,1,702.0,0,12,6,0,0,2.0,0,0,0,2,0.6666666666666666,0,1,8.9988214915994,8.9988214915994,0,0,0.0,4046.27,495.03000000000003,0.3076923076923077,0,0,-9,0,1,1.235705971178394,1.2900770339102432,0,0.0,5.0,1,8,2,0,0,1,0,0.0,3.39964644747982,4,2,0,-2,1,2,False,True,False
CUST_000008,56,F,BC,100K-150K,55,3,1,1,1,0,0,0,3230.97,30007.53,33238.5,26,201.87,9,15,1,5000,0.2108,0,131.4,131.4,0,0,0,1,0,1,0,13,0,630.0,0,43,6,1,0,4.583333333333333,0,1,0,3,0.5373134328358209,0,2,10.41149420673832,8.080847137419688,0,0,0.9027943499255381,11079.5,5248.62,0.6,0,0,-6,0,1,0.1504279675677302,0.395324698767995,0,1.0,0.0,0,13,1,0,0,0,1,0.16666666666666666,4.610948262021496,10,1,3,2,1,4,True,False,False
CUST_000009,37,M,ON,<30K,13,2,1,0,1,0,0,0,492.35,0.0,492.35,34,233.79,5,29,1,1000,0.6098,90,0.0,90.0,0,0,0,1,1,1,14,9,1,669.0,0,66,3,0,0,1.0833333333333333,0,0,0,2,0.9600000000000002,0,1,6.201218861303175,6.201218861303175,0,1,0.0,246.175,7948.86,0.1724137931034483,0,1,-24,0,0,2.031075454453133,18.279679090078197,0,1.0,0.0,0,23,3,1,0,0,1,0.0,2.622865658390953,7,2,2,0,6,0,False,True,False
CUST_000010,53,F,ON,50K-75K,35,4,1,1,1,1,0,0,12440.71,4592.56,17033.27,20,124.7,6,15,1,5000,0.0403,45,0.0,45.0,1,0,0,5,1,1,16,11,0,729.0,0,52,1,0,0,2.9166666666666665,0,0,0,4,1.021276595744681,1,3,9.742982476227043,9.42880981665351,0,0,0.269622920320056,4258.3175,2494.0,0.4,0,0,-9,0,1,0.2935431658160764,0.2641888492344688,0,1.0,0.0,0,27,2,1,0,0,1,0.0,4.5103947428681135,11,1,4,3,6,2,True,False,False
