customer_id,risk_segment,value_segment,churn_probability
CUST_000001,Low Risk/Stable,Gold,0.11091522
CUST_000002,Low Risk/Stable,Silver,0.070675895
CUST_000003,Medium Risk,Silver,0.26549393
CUST_000004,Medium Risk,Silver,0.24400656
CUST_000005,Medium Risk,Silver,0.16211143
CUST_000006,Low Risk/Stable,Silver,0.12172086
CUST_000007,High Risk,Silver,0.44047487
CUST_000008,Low Risk/Stable,Silver,0.11988913
CUST_000009,Medium Risk,Silver,0.20015085
CUST_000010,Low Risk/Stable,Silver,0.09263311
CUST_000011,Low Risk/Stable,Silver,0.13996182
CUST_000012,Low Risk/Stable,Silver,0.08493825
CUST_000013,Low Risk/Stable,Gold,0.11473904
CUST_000014,Low Risk/Stable,Silver,0.084696144
CUST_000015,Low Risk/Stable,Silver,0.110726014
CUST_000016,Medium Risk,Silver,0.18817694
CUST_000017,Low Risk/Stable,Silver,0.1104039
CUST_000018,High Risk,Silver,0.68214035
CUST_000019,Low Risk/Stable,Silver,0.110489
CUST_000020,High Risk,Gold,0.44542184
CUST_000021,Medium Risk,Platinum,0.17380922
CUST_000022,Low Risk/Stable,Platinum,0.08091057
CUST_000023,Low Risk/Stable,Silver,0.14797206
CUST_000024,Low Risk/Stable,Silver,0.12835194
CUST_000025,Low Risk/Stable,Silver,0.11791132
CUST_000026,Low Risk/Stable,Gold,0.13619371
CUST_000027,Low Risk/Stable,Platinum,0.10301672
CUST_000028,Medium Risk,Silver,0.17153776
CUST_000029,Low Risk/Stable,Silver,0.112718016
CUST_000030,Low Risk/Stable,Silver,0.10596752
CUST_000031,Medium Risk,Gold,0.17735082
CUST_000032,High Risk,Silver,0.6405305
CUST_000033,Low Risk/Stable,Silver,0.08662305
CUST_000034,Medium Risk,Silver,0.1661752
CUST_000035,High Risk,Silver,0.47843185
CUST_000036,Low Risk/Stable,Silver,0.13743803
CUST_000037,High Risk,Silver,0.5813704
CUST_000038,Medium Risk,Platinum,0.20919032
CUST_000039,Medium Risk,Silver,0.38696775
CUST_000040,Low Risk/Stable,Silver,0.07369962
CUST_000041,High Risk,Silver,0.6640624
CUST_000042,Medium Risk,Silver,0.21228155
CUST_000043,Medium Risk,Silver,0.31661138
CUST_000044,High Risk,Silver,0.4110204
CUST_000045,Low Risk/Stable,Silver,0.07622031
CUST_000046,Low Risk/Stable,Silver,0.11817762
CUST_000047,Medium Risk,Silver,0.16685732
CUST_000048,Low Risk/Stable,Silver,0.06072195
CUST_000049,Low Risk/Stable,Silver,0.07143938
CUST_000050,High Risk,Silver,0.48526338
CUST_000051,Low Risk/Stable,Silver,0.06662282
CUST_000052,High Risk,Silver,0.66253734
CUST_000053,Low Risk/Stable,Silver,0.09668476
CUST_000054,Low Risk/Stable,Silver,0.087281585
CUST_000055,Low Risk/Stable,Silver,0.06823835
CUST_000056,Low Risk/Stable,Gold,0.07235003
CUST_000057,Low Risk/Stable,Silver,0.09247345
CUST_000058,Medium Risk,Platinum,0.36810184
CUST_000059,Critical,Silver,0.72644335
CUST_000060,High Risk,Silver,0.6627131
CUST_000061,Low Risk/Stable,Silver,0.08343018
CUST_000062,Medium Risk,Silver,0.16913095
CUST_000063,Low Risk/Stable,Silver,0.101160504
CUST_000064,Low Risk/Stable,Gold,0.116972655
CUST_000065,Medium Risk,Silver,0.24412677
CUST_000066,Medium Risk,Silver,0.20468265
CUST_000067,Medium Risk,Silver,0.20726016
CUST_000068,Low Risk/Stable,Silver,0.059679046
CUST_000069,Low Risk/Stable,Silver,0.14195763
CUST_000070,Low Risk/Stable,Silver,0.120294735
CUST_000071,Low Risk/Stable,Silver,0.061242104
CUST_000072,Low Risk/Stable,Silver,0.09528043
CUST_000073,Low Risk/Stable,Silver,0.08294332
CUST_000074,Low Risk/Stable,Silver,0.11120448
CUST_000075,Medium Risk,Silver,0.32803965
CUST_000076,Low Risk/Stable,Platinum,0.13199662
CUST_000077,Medium Risk,Platinum,0.16041645
CUST_000078,Low Risk/Stable,Silver,0.10553321
CUST_000079,Medium Risk,Silver,0.20146465
CUST_000080,Medium Risk,Silver,0.21333872
CUST_000081,Medium Risk,Silver,0.34164727
CUST_000082,Medium Risk,Silver,0.15691395
CUST_000083,Low Risk/Stable,Silver,0.08191371
CUST_000084,High Risk,Silver,0.41824493
CUST_000085,Low Risk/Stable,Silver,0.14534022
CUST_000086,Low Risk/Stable,Silver,0.12543343
CUST_000087,Medium Risk,Silver,0.2700585
CUST_000088,Low Risk/Stable,Silver,0.08379817
CUST_000089,Low Risk/Stable,Silver,0.05951557
CUST_000090,Medium Risk,Silver,0.26567867
CUST_000091,Low Risk/Stable,Gold,0.09723489
CUST_000092,Low Risk/Stable,Silver,0.11293233
CUST_000093,Medium Risk,Silver,0.20414233
CUST_000094,High Risk,Silver,0.46691075
CUST_000095,Low Risk/Stable,Platinum,0.103594676
CUST_000096,Low Risk/Stable,Platinum,0.11700888
CUST_000097,Medium Risk,Platinum,0.18428607
CUST_000098,Low Risk/Stable,Gold,0.080888554
CUST_000099,Low Risk/Stable,Gold,0.11527119
CUST_000100,Low Risk/Stable,Silver,0.07074167
CUST_000101,Low Risk/Stable,Silver,0.1093076
CUST_000102,Medium Risk,Silver,0.20028885
CUST_000103,High Risk,Silver,0.5839232
CUST_000104,Low Risk/Stable,Silver,0.12584089
CUST_000105,Medium Risk,Silver,0.17094699
CUST_000106,Low Risk/Stable,Platinum,0.115032025
CUST_000107,Low Risk/Stable,Gold,0.07196878
CUST_000108,Low Risk/Stable,Silver,0.058432736
CUST_000109,Low Risk/Stable,Silver,0.08105173
CUST_000110,Medium Risk,Silver,0.19568665
CUST_000111,Low Risk/Stable,Silver,0.10787582
CUST_000112,Low Risk/Stable,Gold,0.082108945
CUST_000113,Low Risk/Stable,Gold,0.09009633
CUST_000114,Medium Risk,Silver,0.28762233
CUST_000115,Low Risk/Stable,Silver,0.12487302
CUST_000116,Low Risk/Stable,Platinum,0.1177251
CUST_000117,Low Risk/Stable,Silver,0.09961166
CUST_000118,Low Risk/Stable,Silver,0.082194485
CUST_000119,Medium Risk,Silver,0.20365757
CUST_000120,Low Risk/Stable,Silver,0.10159049
CUST_000121,Medium Risk,Silver,0.36077762
CUST_000122,Low Risk/Stable,Gold,0.07910072
CUST_000123,Low Risk/Stable,Platinum,0.12231079
CUST_000124,Low Risk/Stable,Silver,0.061002556
CUST_000125,Low Risk/Stable,Silver,0.062420655
CUST_000126,Medium Risk,Silver,0.3506892
CUST_000127,Medium Risk,Silver,0.19211353
CUST_000128,Low Risk/Stable,Silver,0.06237683
CUST_000129,Low Risk/Stable,Silver,0.09178308
